PremiseId,Occupier ID,Name,BusinessType,SubCategory,Category,Guardian-sector,Classification,PostCode,Town,Latitude,Longitude,CreatedDate,ClosedDate,Selected Town,Pre-lockdown,Lockdown,Post Lockdown,FrLastVerifiedDate,OrLastVerifiedDate
52959512,13605843,Reko's Barbershop,Independent,Barbers,"Hairdressing, Health & Beauty",Health & beauty,Service,M33 2SR,Sale,53.41977,-2.30257,28/6/2019,,Sale,Open,,Open,22/7/2020,24/7/2020
52959514,13605852,Results Inc. Gym,Independent,Health Clubs,"Hairdressing, Health & Beauty",Health & beauty,Service,M33 2PA,Sale,53.41974,-2.30115,28/6/2019,,Sale,Open,,,22/7/2020,24/7/2020
52959517,13605855,Infusion Hair Design,Independent,Hairdressers,"Hairdressing, Health & Beauty",Health & beauty,Service,M33 2PZ,Sale,53.41896,-2.29159,28/6/2019,,Sale,Open,,,22/7/2020,24/7/2020
52959519,13605857,Mo News,Independent,Newsagents,"Confectionery, Tobacco, Newsagents",Other,Convenience,M33 2FE,Sale,53.42074,-2.30556,28/6/2019,,Sale,Open,Open,Open,22/7/2020,24/7/2020
52959534,13605895,Amphora Cafe,Independent,Cafe & Tearoom,Cafes & Fast Food,"Restaurants, cafes & fast food",Leisure,M33 3DU,Sale,53.42068,-2.32044,28/6/2019,,Sale,Open,,Open,21/7/2020,24/7/2020
52959542,13605929,PC Express,Independent,Computers,Electrical Goods & Home Entertainment,Other,Comparison,M33 4AH,Sale,53.41927,-2.33201,28/6/2019,,Sale,Open,,Open,22/7/2020,24/7/2020
52959547,13605937,Blueberry Dry Cleaning Company,Independent,Dry Cleaners,"Launderettes, Dry Cleaners & Other",Other,Service,M33 4AH,Sale,53.41914,-2.33215,28/6/2019,,Sale,Open,Open,Open,22/7/2020,24/7/2020
52959548,13605938,Sunsation,Independent,Tanning Shops,"Hairdressing, Health & Beauty",Health & beauty,Service,M33 4AH,Sale,53.4191,-2.33218,28/6/2019,,Sale,Open,,Open,22/7/2020,24/7/2020
52959560,13605958,Nail & Beauty Clinic,Independent,Beauty Salons,"Hairdressing, Health & Beauty",Health & beauty,Service,M33 4JH,Sale,53.40833,-2.34538,28/6/2019,,Sale,Open,,Open,22/7/2020,24/7/2020
52959564,13605963,Interior Curtain Centre,Independent,Curtains - Retailers & Makers,"Furniture, Carpets, Textiles, Bathrooms & Kitchens",Household items,Comparison,M33 4EL,Sale,53.40822,-2.34485,28/6/2019,,Sale,Open,,Open,22/7/2020,24/7/2020
52959565,13605964,The Pine & Oak Emporium,Independent,Furniture Shops,"Furniture, Carpets, Textiles, Bathrooms & Kitchens",Household items,Comparison,M33 4JH,Sale,53.40805,-2.3441,28/6/2019,,Sale,Open,,Open,22/7/2020,24/7/2020
52123061,13468188,Park View,Independent,Chinese Fast Food Takeaway,Cafes & Fast Food,"Restaurants, cafes & fast food",Leisure,M33 7QZ,Sale,53.42386,-2.32747,8/6/2018,,Sale,Open,,Open,22/7/2020,24/7/2020
52651945,13468191,Nettl,Independent,Printers,"Books, Arts & Crafts, Stationery, Printers",Other,Comparison,M33 6RH,Sale,53.42105,-2.33031,8/6/2018,24/7/2020,Sale,Open,,,22/7/2020,24/7/2020
50785078,13468196,Sale Indian Cuisine,Independent,Indian Takeaway,Cafes & Fast Food,"Restaurants, cafes & fast food",Leisure,M33 6WT,Sale,53.425774,-2.326522,8/6/2018,24/7/2020,Sale,Open,,,21/7/2020,24/7/2020
50785123,13468197,Style Agent,Independent,Clothes - Women,Fashion & General Clothing,Fashion & clothing,Comparison,M33 7DY,Sale,53.42618,-2.32094,8/6/2018,,Sale,Open,,,21/7/2020,24/7/2020
52122983,13468202,Sale Fish & Seafoods,Independent,Fishmongers,Butchers & Fishmongers,Other,Convenience,M33 7DZ,Sale,53.42519,-2.32139,8/6/2018,,Sale,Open,Open,Open,21/7/2020,24/7/2020
52409655,13468211,Autotech,Independent,Garage Services,Auto Services,Other,Service,M33 2FE,Sale,53.42105,-2.30693,8/6/2018,,Sale,Open,Open,Open,22/7/2020,24/7/2020
52376802,13468214,Daniels Electrical,Independent,Electrical Goods,Electrical Goods & Home Entertainment,Other,Comparison,M33 7ZZ,Sale,53.424345,-2.323291,8/6/2018,,Sale,Open,,Open,21/7/2020,24/7/2020
52820829,13468217,Dhaanya,Independent,Indian Takeaway,Cafes & Fast Food,"Restaurants, cafes & fast food",Leisure,M33 7JR,Sale,53.43236,-2.31766,8/6/2018,,Sale,Open,,Open,21/7/2020,24/7/2020
52384728,13468225,Farplace Animal Rescue,Multiple,Charity Shops,Charity & Secondhand Shops,Other,Comparison,M33 7WZ,Sale,53.423859,-2.322311,8/6/2018,24/7/2020,Sale,Open,,,21/7/2020,24/7/2020
52925296,13468881,Green Lane Dental Practice,Independent,Dentists,"Hairdressing, Health & Beauty",Health & beauty,Service,M33 5PP,Sale,53.42991,-2.3422,13/6/2018,,Sale,Open,Open,Open,22/7/2020,24/7/2020
52925305,13468892,Sale Moor Dental Practice,Independent,Dentists,"Hairdressing, Health & Beauty",Health & beauty,Service,M33 3HP,Sale,53.41953,-2.304,13/6/2018,,Sale,Open,Open,Open,22/7/2020,24/7/2020
52925313,13468904,Arthur Gresty,Independent,Funeral Directors and Monumental Masons,Miscellaneous,Other,Service,M33 3HQ,Sale,53.41971,-2.30411,13/6/2018,,Sale,Open,Open,Open,22/7/2020,24/7/2020
52925321,13468915,Sale Moor Laundry,Independent,Laundries & Launderettes,"Launderettes, Dry Cleaners & Other",Other,Service,M33 3HN,Sale,53.42031,-2.30416,13/6/2018,,Sale,Open,Open,Open,22/7/2020,24/7/2020
52925324,13468920,The Sharp Edge,Independent,Barbers,"Hairdressing, Health & Beauty",Health & beauty,Service,M33 3HN,Sale,53.42035,-2.30409,13/6/2018,,Sale,Open,,Open,22/7/2020,24/7/2020
52925325,13468929,Style Directors,Independent,Hair & Beauty Salons,"Hairdressing, Health & Beauty",Health & beauty,Service,M33 3HN,Sale,53.42034,-2.30416,13/6/2018,,Sale,Open,,Open,22/7/2020,24/7/2020
52122990,13469050,Girl Code,Independent,Hair & Beauty Salons,"Hairdressing, Health & Beauty",Health & beauty,Service,M33 7AN,Sale,53.427556,-2.322728,13/6/2018,,Sale,Open,,Open,21/7/2020,24/7/2020
50785124,13469116,Iconic Bathrooms,Independent,Bathroom Equipment & Fittings,"Furniture, Carpets, Textiles, Bathrooms & Kitchens",Household items,Comparison,M33 7DY,Sale,53.42632,-2.32126,13/6/2018,,Sale,Open,Open,Open,21/7/2020,24/7/2020
52925342,13469129,Garvey's,Independent,Social Clubs,"Bars, Pubs & Clubs","Bars, pubs & clubs",Leisure,M33 7JN,Sale,53.42896,-2.32154,13/6/2018,,Sale,Open,,Open,21/7/2020,24/7/2020
52925356,13469149,The Light,Multiple,Charity Shops,Charity & Secondhand Shops,Other,Comparison,M33 7AD,Sale,53.42551,-2.32516,13/6/2018,,Sale,Open,,,22/7/2020,24/7/2020
52820847,13337669,Tony & Dog,Independent,Pet Shops & Pet Supplies,Pet Shops & Pet Supplies,Other,Comparison,M33 6RH,Sale,53.42116,-2.33019,30/6/2017,,Sale,Open,Open,Open,22/7/2020,24/7/2020
52840814,13337675,Specsavers Hearcare,Multiple,Hearing Aids,"Hairdressing, Health & Beauty",Health & beauty,Service,M33 7WZ,Sale,53.42383,-2.32242,17/8/2016,,Sale,Open,,Open,21/7/2020,24/7/2020
52885921,13338316,Manchester Cosmetics Clinic,Independent,Health Clinics,Medical,Other,Miscellaneous,M33 7JQ,Sale,53.43077,-2.3196,3/7/2017,,Sale,Open,,,23/7/2020,24/7/2020
52885935,13338336,Craven's Coffee House,Independent,Cafe & Tearoom,Cafes & Fast Food,"Restaurants, cafes & fast food",Leisure,M33 5PN,Sale,53.42971,-2.34219,3/7/2017,,Sale,Open,,Open,22/7/2020,24/7/2020
52885937,13338339,Shelley K.,Independent,Fashion Shops,Fashion & General Clothing,Fashion & clothing,Comparison,M33 5PN,Sale,53.42915,-2.34175,3/7/2017,,Sale,Open,,Open,22/7/2020,24/7/2020
